Tweet Text;Tweet Datetime;Tweet Retweet Count;Tweet Favorite Count;Twitter @ name;Twitter User Location;URL in Bio;Users Current Following Count;Number of accounts user is following;Users Tweet Count;Tweet Language
"Kylie Minogue stars in THE MARC JACOBS campaign. Available now on https://t.co/lPefBkS3YU.

Photographed by Sharna Osborne
Styled by Lotta Volkova

September 25, 2020 in London, England. https://t.co/SRvXCZCrgT";2020-10-29 23:00:00+00:00;26;148;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"New to the ongoing collection of the items we love • Kylie Minogue stars in THE MARC JACOBS campaign. Available now on https://t.co/lPefBl9Fnu.

Photographed by Sharna Osborne
Styled by Lotta Volkova

September 25, 2020 in London, England. https://t.co/5M4oxbucmg";2020-10-29 21:08:58+00:00;13;107;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Kylie Minogue stars in THE MARC JACOBS campaign. Available now on https://t.co/lPefBl9Fnu.

Photographed by Sharna Osborne
Styled by Lotta Volkova

September 25, 2020 in London, England. https://t.co/SQ8lkMl3a2";2020-10-29 17:52:20+00:00;48;205;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"BennY RevivaL wears THE MARC JACOBS 👽

Photographed on October 14, 2020. https://t.co/qInhXcN5Lr";2020-10-29 02:52:20+00:00;9;63;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"BennY RevivaL wears HEAVEN by MARC JACOBS 🐸

Photographed on October 14, 2020. https://t.co/Wo7KQxeasK";2020-10-28 23:10:00+00:00;8;76;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"BennY RevivaL wears THE MARC JACOBS 🌊

Photographed on October 14, 2020. https://t.co/JOeAwDB16D";2020-10-28 22:32:09+00:00;5;66;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"BennY RevivaL wears THE MARC JACOBS 🧟‍♀️

Filmed on October 14, 2020. https://t.co/sJH7OHBD9L";2020-10-28 19:08:41+00:00;16;105;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"The election is seven days away ⏳ Get the word out and VOTE.

$10 from every Vote Patch sold will be donated to @WhenWeAllVote. Visit https://t.co/UxRl2Qwb6N for voting resources.

Ethan photographed by Tyrell Hampton

September 20, 2020 in New York City.";2020-10-27 22:24:37+00:00;3;43;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Make your voice heard 🗣 VOTE by November 3.

$10 from every Vote Patch sold will be donated to @WhenWeAllVote. Visit https://t.co/UxRl2Qwb6N for voting resources.

Noah photographed by Tyrell Hampton

September 20, 2020 in New York City.";2020-10-27 20:00:00+00:00;0;21;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"One week left to VOTE 📆

$10 from every Vote Patch sold will be donated to 
@WhenWeAllVote. Visit https://t.co/UxRl2Qwb6N for voting resources.

Indira photographed by Tyrell Hampton

September 20, 2020 in New York City.";2020-10-27 18:30:32+00:00;14;97;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Step Forward. THE GHILLIE from THE MARC JACOBS.

Photographed by Corey Olsen

August 21, 2020 in New York City.";2020-10-26 19:27:31+00:00;5;94;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Step Forward. THE GHILLIE from THE MARC JACOBS.

Photographed by Ava Nirui
Styled by Clare Byrne

September 3, 2020 in New York City.";2020-10-26 16:30:00+00:00;5;92;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Step Forward. THE BOOT from THE MARC JACOBS.

Photographed by Corey Olsen

August 21, 2020 in New York City.";2020-10-26 14:12:51+00:00;8;126;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"THE QUILTED SOFTSHOT 17.

Photographed by Corey Olsen

August 21, 2020 in New York City.";2020-10-25 21:00:00+00:00;7;85;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
