Tweet Text;Tweet Datetime;Tweet Retweet Count;Tweet Favorite Count;Twitter @ name;Twitter User Location;URL in Bio;Users Current Following Count;Number of accounts user is following;Users Tweet Count;Tweet Language
"THE Snapshot Flag.

Photographed by Corey Olsen

August 21, 2020 in New York City.";2020-09-29 18:07:22+00:00;14;61;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"THE Snapshot Flag.

Photographed by Corey Olsen

August 21, 2020 in New York City.";2020-09-29 15:28:11+00:00;12;78;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Tianna wears THE J Link Quilted Velvet.

Photographed by Ava Nirui
Styled by Clare Byrne

September 3, 2020 in New York City.";2020-09-29 12:46:24+00:00;11;58;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Tianna and Jane wear THE Teddy Small Traveler Tote. Shop now: https://t.co/4cPpnJ6v0J

Photographed by Ava Nirui
Styled by Clare Byrne

September 3, 2020 in New York City. https://t.co/5wZdTb2Tcy";2020-09-28 18:30:00+00:00;4;40;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Tianna wears THE Teddy Small Traveler Tote.

Photographed by Ava Nirui
Styled by Clare Byrne

September 3, 2020 in New York City.";2020-09-28 17:06:52+00:00;8;61;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Ayana Jackson’s “Martha” and “Sentinel” from her Leapfrog series, 2016.

Via All Power: Visual Legacies of the Black Panther Party, 2016. Available now at BOOKMARC NEW YORK, 400 Bleecker Street, New York City. https://t.co/vbRaGQhdrM";2020-09-27 20:14:12+00:00;8;43;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Our limited-edition collaboration with Dr. Martens is now available.

Shop the 1460 vegan boot on https://t.co/lPefBl9Fnu and select Marc Jacobs stores.

Photographed by Corey Olsen

September 1, 2020 in New York City.";2020-09-26 13:26:45+00:00;26;173;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Introducing our limited-edition sweatshirt made in collaboration with Dover Street Market and When We All Vote. 100% of profits will be donated to When We All Vote, benefitting their efforts in this year’s and upcoming elections.

Available September 26 at Dover Street Market. https://t.co/H3wfWBUNG2";2020-09-25 18:37:54+00:00;9;75;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"HEAVEN is a place on earth 😇 Moments from our drive-in screening of Gregg Araki’s Nowhere (1997).

Photographed by Megan Walschlager

September 23, 2020 in Brooklyn. https://t.co/1HbY688F2S";2020-09-25 13:30:00+00:00;8;85;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"HEAVEN is a place on earth 😇 Moments from our drive-in screening of Gregg Araki’s Nowhere (1997).

Photographed by Megan Walschlager

September 23, 2020 in Brooklyn. https://t.co/algHC4EG7G";2020-09-25 12:41:54+00:00;10;79;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"HEAVEN sent 💌 Moments from last night's drive-in screening of Gregg Araki’s Nowhere (1997).

Photographed by Megan Walschlager

September 23, 2020 in Brooklyn. https://t.co/fjsOf9t8WD";2020-09-25 02:30:00+00:00;0;38;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"HEAVEN sent 💌 Moments from last night's drive-in screening of Gregg Araki’s Nowhere (1997).

Photographed by Megan Walschlager

September 23, 2020 in Brooklyn. https://t.co/fWbaaOWO84";2020-09-25 02:00:00+00:00;1;21;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Last night in HEAVEN ⭐ Friends joined us for a drive-in screening of Nowhere (1997), a film by LA director Gregg Araki.

Graphics from his film Totally F***ed Up are featured throughout HEAVEN by MARC JACOBS.

Photographed by Phoenix Johnson

September 23, 2020 in Brooklyn. https://t.co/q7fXZNGtjd";2020-09-25 01:47:41+00:00;3;43;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Last night in HEAVEN ⭐ Friends joined us for a drive-in screening of Nowhere (1997), a film by LA director Gregg Araki.

Graphics from his film Totally F***ed Up are featured throughout HEAVEN by MARC JACOBS.

Photographed by Phoenix Johnson

September 23, 2020 in Brooklyn. https://t.co/pd0DgkeAab";2020-09-25 01:37:24+00:00;5;47;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Last night in HEAVEN ⭐️ Friends joined us for a drive-in screening of Nowhere (1997), a film by LA director Gregg Araki.

Graphics from his film Totally F***ed Up are featured throughout HEAVEN by MARC JACOBS.

Photographed by Phoenix Johnson

September 23, 2020 in Brooklyn. https://t.co/SxLY7y9jbg";2020-09-25 01:30:49+00:00;6;32;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Richie wears THE J Link.

Photographed by Richie Shazam

August 6, 2020 in New Jersey.";2020-09-24 13:49:42+00:00;6;68;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Julia wears THE Marc Jacobs.

Photographed by Richie Shazam

August 6, 2020 in New Jersey.";2020-09-23 18:13:23+00:00;8;78;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Julia wears THE Marc Jacobs.

Photographed by Richie Shazam

August 6, 2020 in New Jersey. https://t.co/5Pp3PuTvcw";2020-09-23 13:19:47+00:00;5;78;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Details from the handmade backpacks benefitting Free Arts NYC.

Featuring Feathery and Extra Credit.

Free Arts NYC is a mentorship program empowering underserved youth to develop creativity and confidence through art.

Place a bid now: https://t.co/8k0TMyHqM7 https://t.co/CX6fQzYTZx";2020-09-21 21:49:44+00:00;12;57;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"On auction now: Each one-of-a-kind backpack creature sold will benefit the children who named them at Free Arts NYC.

Featuring Shlunflower and Eight A.M.

Place a bid now: https://t.co/8k0TMyHqM7 https://t.co/edA5HociHC";2020-09-21 20:36:20+00:00;17;45;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"On auction now: Each one-of-a-kind backpack creature sold will benefit the children who named them at Free Arts NYC.

Featuring PomPom, Extra Credit and Scantron.

Free Arts is a mentorship program empowering underserved youth to develop creativity and confidence through art.";2020-09-21 19:34:24+00:00;18;84;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Minnie wears THE J Link. Shop now: https://t.co/nipvjuftNf

Photographed by Ava Nirui
Styled by Clare Byrne

September 3, 2020 in New York City. https://t.co/Y2TJ1Hj7Pc";2020-09-21 13:03:14+00:00;3;35;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"THE J Link Quilted Velvet.

Photographed by Corey Olsen

August 21, 2020 in New York City.";2020-09-20 21:00:00+00:00;9;51;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Introducing THE J Link. Our take on the classic structured shoulder bag.

Photographed by Corey Olsen

August 21, 2020 in New York City.";2020-09-20 15:03:58+00:00;11;107;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Details from RUNWAY SPRING 2016 MARC JACOBS.

Charms are a recurrent theme throughout Marc Jacobs collections, and served as key inspiration for our limited-edition collaboration with Dr. Martens.

The vegan 1460 boot, coming soon. https://t.co/usHacZRgCv";2020-09-18 20:58:36+00:00;12;77;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Introducing our limited-edition collaboration with Dr. Martens in celebration of their 60-year anniversary. This new vegan 1460 boot is inspired by a shared history dating back to 1993.

Coming soon.

Photographed by Corey Olsen

September 1, 2020 in New York City. https://t.co/Rf59HY5dkU";2020-09-18 16:22:11+00:00;54;367;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Tianna wears THE Softshot 21. Shop now: https://t.co/BW8MRZ2jNc

Photographed by Ava Nirui
Styled by Clare Byrne

September 3, 2020 in New York City. https://t.co/oglmRhxxsD";2020-09-17 21:45:00+00:00;8;27;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Tianna wears THE Softshot 17.

Photographed by Ava Nirui
Styled by Clare Byrne

September 3, 2020 in New York City.";2020-09-17 18:11:00+00:00;7;78;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Tianna wears THE Softshot 17 and THE Softshot 21.

Photographed by Ava Nirui
Styled by Clare Byrne

September 3, 2020 in New York City.";2020-09-17 15:32:52+00:00;8;54;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"THE Small Traveler Tote.

Photographed by Corey Olsen

August 19, 2020 in New York City.";2020-09-16 20:00:01+00:00;5;51;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"THE Hot Shot.

Photographed by Corey Olsen

August 19, 2020 in New York City.";2020-09-16 17:02:58+00:00;6;63;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"THE Softshot 21 Leopard.

Photographed by Corey Olsen

August 19, 2020 in New York City.";2020-09-16 13:00:47+00:00;11;80;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"CLIMAX BOOKS for HEAVEN by MARC JACOBS

This special selection of books, soundtracks, magazines and posters was curated by Isabella Burley and Climax Books for Heaven.

Available now at MARC JACOBS MADISON, 655 Madison Avenue, New York City. https://t.co/02aRQU0KiA";2020-09-15 18:32:33+00:00;5;31;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Heaven sent 💌 Kemio, Miles, Dominique and Eileen in the Heaven bedroom.

Watch live until midnight on https://t.co/bhJpSAyyc6 or at MARC JACOBS MADISON, 655 Madison Avenue, NYC. https://t.co/fmLAqQsODZ";2020-09-15 03:14:26+00:00;88;1840;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Queen of Pentacles and our hearts ♥️ Tarot card reading in Heaven with Kendra and Eileen.

Watch live until midnight on https://t.co/bhJpSAyyc6 or at MARC JACOBS MADISON, 655 Madison Avenue, NYC. https://t.co/1CzwTSLurB";2020-09-15 02:02:48+00:00;5;43;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Eileen, Manon and Sabrina in Heaven 💕

Watch live until midnight on https://t.co/bhJpSAyyc6 or at MARC JACOBS MADISON, 655 Madison Avenue, NYC. https://t.co/tPOOGfw1Vt";2020-09-14 22:35:30+00:00;4;23;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"⭐️ 12 Hours in Heaven with Eileen Kelly ⭐️

Now live on https://t.co/bhJpSAyyc6 and at MARC JACOBS MADISON, 655 Madison Avenue, NYC. https://t.co/aAOgyyOSYi";2020-09-14 17:12:59+00:00;6;48;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"💘12 Hours in Heaven with Eileen Kelly💘

Sex educator &amp; founder of Killer And A Sweet Thang Eileen Kelly enters our dystopian teenage daydream.

Watch live on https://t.co/lPefBl9Fnu or at MARC JACOBS MADISON, 655 Madison Avenue, NYC.

Monday, September 14

12:00PM-12:00AM EST https://t.co/5DDomcT5ID";2020-09-13 17:54:11+00:00;10;59;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Chikara and Mind Infection, Manon and Iori wear HEAVEN by MARC JACOBS

Photographed by Shoichi Aoki of FRUiTS Magazine
Styled by Yosuke Shoji

May 16-18, 2020 in Tokyo, Japan. https://t.co/q8dxtSzvWd";2020-09-13 03:50:00+00:00;16;87;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Shoichi Aoki wears HEAVEN by MARC JACOBS

Photographed by Shoichi Aoki of FRUiTS Magazine
Styled by Yosuke Shoji

May 16-18, 2020 in Tokyo, Japan. https://t.co/vxFSbucDNN";2020-09-13 03:40:00+00:00;11;54;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Ohta, Kurebayashi and Hiromichi wear HEAVEN by MARC JACOBS

Photographed by Shoichi Aoki of FRUiTS Magazine
Styled by Yosuke Shoji

May 16-18, 2020 in Tokyo, Japan. https://t.co/5P7XnR2fmO";2020-09-13 03:10:00+00:00;18;86;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Kananko and Sakina, Haruka, and Katy and Karen wear HEAVEN by MARC JACOBS

Photographed by Shoichi Aoki of FRUiTS Magazine
Styled by Yosuke Shoji

May 16-18, 2020 in Tokyo, Japan. https://t.co/FFooaaWIpH";2020-09-13 02:57:46+00:00;48;219;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
